-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M_MIN,1991,22.5,88.75,0.19,0.36,0.31,0.3,1.87,0.59,0.31,0.49,0.15,0.08,0.28,0.19,0.08
WS2M_MIN,1991,22.5,89.375,0.14,0.22,0.1,0.06,1.07,0.47,0.64,0.23,0.07,0.05,0.08,0.01,0.01
WS2M_MIN,1991,22.5,90.0,0.14,0.04,0.11,0.31,1.07,0.82,0.8,0.24,0.04,0.07,0.05,0.1,0.04
WS2M_MIN,1991,22.5,90.625,0.06,0.11,0.08,0.22,1.37,1.12,1.19,0.26,0.06,0.1,0.08,0.14,0.06
WS2M_MIN,1991,22.5,91.25,0.2,0.14,0.21,0.21,1.51,0.2,1.04,0.94,0.12,0.15,0.3,0.09,0.09
WS2M_MIN,1991,22.5,91.875,0.22,0.04,0.11,0.05,0.26,0.25,0.32,0.32,0.29,0.18,0.26,0.12,0.04
WS2M_MIN,1991,22.5,92.5,0.01,0.03,0.04,0.01,0.04,0.05,0.1,0.06,0.02,0.04,0.01,0.01,0.01
WS2M_MIN,1991,23.0,88.75,0.08,0.09,0.33,0.36,2.0,0.28,0.64,0.49,0.16,0.07,0.2,0.11,0.07
WS2M_MIN,1991,23.0,89.375,0.25,0.13,0.09,0.11,1.51,0.33,0.67,0.34,0.02,0.16,0.05,0.13,0.02
WS2M_MIN,1991,23.0,90.0,0.13,0.02,0.08,0.12,1.16,0.34,0.8,0.43,0.26,0.07,0.04,0.04,0.02
WS2M_MIN,1991,23.0,90.625,0.16,0.13,0.05,0.34,1.11,1.13,1.11,0.35,0.09,0.03,0.08,0.09,0.03
WS2M_MIN,1991,23.0,91.25,0.18,0.18,0.09,0.16,0.71,0.32,0.59,0.37,0.23,0.2,0.06,0.03,0.03
WS2M_MIN,1991,23.0,91.875,0.0,0.03,0.02,0.0,0.05,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0
WS2M_MIN,1991,23.0,92.5,0.01,0.04,0.01,0.04,0.01,0.02,0.06,0.02,0.05,0.0,0.02,0.01,0.0
WS2M_MIN,1991,23.5,88.75,0.13,0.06,0.18,0.1,0.11,0.58,0.49,0.44,0.13,0.08,0.14,0.09,0.06
WS2M_MIN,1991,23.5,89.375,0.03,0.11,0.08,0.1,0.9,0.42,0.42,0.41,0.13,0.04,0.04,0.04,0.03
WS2M_MIN,1991,23.5,90.0,0.09,0.15,0.02,0.23,1.16,0.39,0.44,0.39,0.19,0.1,0.13,0.14,0.02
WS2M_MIN,1991,23.5,90.625,0.08,0.03,0.04,0.36,1.08,0.72,0.82,0.14,0.06,0.09,0.06,0.01,0.01
WS2M_MIN,1991,23.5,91.25,0.1,0.01,0.13,0.07,0.81,0.56,0.42,0.15,0.18,0.09,0.05,0.03,0.01
WS2M_MIN,1991,23.5,91.875,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1991,23.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1991,24.0,88.75,0.1,0.07,0.05,0.06,0.17,0.23,0.16,0.42,0.14,0.06,0.05,0.07,0.05
WS2M_MIN,1991,24.0,89.375,0.11,0.11,0.0,0.1,0.91,0.25,0.39,0.46,0.29,0.09,0.13,0.06,0.0
WS2M_MIN,1991,24.0,90.0,0.05,0.05,0.05,0.15,0.99,0.46,0.49,0.43,0.52,0.0,0.02,0.1,0.0
WS2M_MIN,1991,24.0,90.625,0.14,0.14,0.15,0.29,0.89,0.49,0.45,0.34,0.28,0.1,0.09,0.11,0.09
WS2M_MIN,1991,24.0,91.25,0.22,0.12,0.05,0.27,0.56,0.5,0.27,0.23,0.15,0.07,0.06,0.03,0.03
WS2M_MIN,1991,24.0,91.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1991,24.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1991,24.5,88.75,0.08,0.09,0.08,0.04,0.04,0.18,0.45,0.46,0.29,0.09,0.02,0.02,0.02
WS2M_MIN,1991,24.5,89.375,0.06,0.1,0.08,0.19,0.41,0.11,0.32,0.24,0.19,0.07,0.02,0.29,0.02
WS2M_MIN,1991,24.5,90.0,0.17,0.05,0.05,0.13,0.87,0.3,0.06,0.02,0.24,0.01,0.1,0.14,0.01
WS2M_MIN,1991,24.5,90.625,0.07,0.12,0.09,0.24,0.74,0.58,0.37,0.12,0.25,0.04,0.01,0.15,0.01
WS2M_MIN,1991,24.5,91.25,0.03,0.1,0.14,0.17,0.21,0.16,0.07,0.36,0.04,0.04,0.05,0.08,0.03
WS2M_MIN,1991,24.5,91.875,0.07,0.15,0.14,0.22,0.12,0.05,0.25,0.12,0.1,0.07,0.01,0.04,0.01
WS2M_MIN,1991,24.5,92.5,0.01,0.0,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.0
WS2M_MIN,1991,25.0,88.75,0.09,0.1,0.07,0.11,0.24,0.17,0.27,0.37,0.1,0.07,0.07,0.1,0.07
WS2M_MIN,1991,25.0,89.375,0.14,0.02,0.12,0.13,0.23,0.04,0.04,0.11,0.23,0.05,0.02,0.18,0.02
WS2M_MIN,1991,25.0,90.0,0.09,0.08,0.15,0.13,0.76,0.29,0.18,0.26,0.25,0.06,0.15,0.02,0.02
WS2M_MIN,1991,25.0,90.625,0.09,0.11,0.12,0.07,0.57,0.17,0.1,0.04,0.09,0.14,0.07,0.08,0.04
WS2M_MIN,1991,25.0,91.25,0.09,0.13,0.12,0.2,0.19,0.18,0.13,0.08,0.09,0.08,0.04,0.04,0.04
WS2M_MIN,1991,25.0,91.875,0.08,0.09,0.09,0.09,0.03,0.06,0.05,0.08,0.07,0.09,0.05,0.01,0.01
WS2M_MIN,1991,25.0,92.5,0.03,0.07,0.13,0.09,0.05,0.05,0.02,0.12,0.08,0.08,0.01,0.04,0.01
WS2M_MIN,1991,25.5,88.75,0.07,0.06,0.06,0.07,0.32,0.32,0.32,0.03,0.04,0.03,0.17,0.08,0.03
WS2M_MIN,1991,25.5,89.375,0.04,0.05,0.05,0.12,0.21,0.14,0.22,0.18,0.3,0.02,0.06,0.07,0.02
WS2M_MIN,1991,25.5,90.0,0.08,0.06,0.06,0.08,0.41,0.02,0.14,0.11,0.15,0.04,0.03,0.06,0.02
WS2M_MIN,1991,25.5,90.625,0.03,0.05,0.03,0.12,0.13,0.01,0.03,0.01,0.06,0.02,0.01,0.01,0.01
WS2M_MIN,1991,25.5,91.25,0.03,0.08,0.11,0.16,0.17,0.22,0.18,0.32,0.05,0.14,0.04,0.06,0.03
WS2M_MIN,1991,25.5,91.875,0.1,0.16,0.04,0.27,0.08,0.22,0.21,0.12,0.04,0.04,0.06,0.16,0.04
WS2M_MIN,1991,25.5,92.5,0.02,0.01,0.04,0.05,0.09,0.07,0.14,0.08,0.07,0.05,0.02,0.06,0.01
WS2M_MIN,1991,26.0,88.75,0.04,0.04,0.06,0.06,0.25,0.09,0.29,0.2,0.11,0.02,0.1,0.18,0.02
WS2M_MIN,1991,26.0,89.375,0.04,0.13,0.09,0.1,0.45,0.19,0.06,0.12,0.16,0.05,0.14,0.14,0.04
WS2M_MIN,1991,26.0,90.0,0.04,0.05,0.04,0.13,0.62,0.25,0.09,0.13,0.33,0.01,0.06,0.08,0.01
WS2M_MIN,1991,26.0,90.625,0.13,0.17,0.13,0.02,0.19,0.05,0.09,0.04,0.08,0.06,0.1,0.1,0.02
WS2M_MIN,1991,26.0,91.25,0.15,0.09,0.13,0.07,0.16,0.05,0.06,0.04,0.11,0.13,0.13,0.05,0.04
WS2M_MIN,1991,26.0,91.875,0.09,0.04,0.01,0.04,0.01,0.07,0.0,0.04,0.03,0.07,0.06,0.02,0.0
WS2M_MIN,1991,26.0,92.5,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.0,0.0,0.01,0.0,0.01,0.0
WS2M_MIN,1992,20.5,88.75,0.06,0.12,0.21,0.85,1.01,1.2,2.27,1.67,0.11,0.13,0.18,0.4,0.06
WS2M_MIN,1992,20.5,89.375,0.12,0.37,0.43,0.17,0.28,1.13,1.51,1.36,0.49,0.11,0.14,0.29,0.11
WS2M_MIN,1992,20.5,90.0,0.06,0.06,0.33,0.36,0.85,0.37,0.98,1.15,0.28,0.07,0.07,0.48,0.06
WS2M_MIN,1992,20.5,90.625,0.1,0.43,0.26,0.21,0.15,0.71,0.47,1.28,0.55,0.24,0.08,0.16,0.08
WS2M_MIN,1992,20.5,91.25,0.13,0.48,0.25,0.12,0.4,0.74,0.3,1.49,0.17,0.11,0.19,0.09,0.09
WS2M_MIN,1992,20.5,91.875,0.51,0.23,0.14,0.48,0.67,0.35,0.33,1.04,0.21,0.06,0.12,0.18,0.06
WS2M_MIN,1992,20.5,92.5,0.18,0.14,0.15,0.11,0.03,0.45,0.61,0.28,0.06,0.14,0.15,0.13,0.03
WS2M_MIN,1992,21.0,88.75,0.02,0.08,0.33,1.53,0.64,0.91,0.76,1.43,0.53,0.07,0.25,0.13,0.02
WS2M_MIN,1992,21.0,89.375,0.17,0.11,0.52,0.69,0.58,0.71,1.9,0.98,0.3,0.16,0.03,0.13,0.03
WS2M_MIN,1992,21.0,90.0,0.02,0.09,0.13,0.37,0.89,0.59,0.74,0.81,0.14,0.07,0.07,0.22,0.02
WS2M_MIN,1992,21.0,90.625,0.14,0.09,0.26,0.05,0.43,0.42,0.29,1.06,0.15,0.21,0.14,0.24,0.05
WS2M_MIN,1992,21.0,91.25,0.64,0.22,0.35,0.05,0.16,0.41,0.07,1.13,0.19,0.28,0.07,0.22,0.05
WS2M_MIN,1992,21.0,91.875,0.4,0.08,0.16,0.11,0.3,0.62,0.2,0.97,0.27,0.27,0.13,0.2,0.08
WS2M_MIN,1992,21.0,92.5,0.0,0.01,0.01,0.09,0.08,0.09,0.1,0.11,0.06,0.05,0.01,0.06,0.0
WS2M_MIN,1992,21.5,88.75,0.09,0.09,0.38,1.45,1.63,0.41,0.84,1.26,0.14,0.09,0.04,0.37,0.04
WS2M_MIN,1992,21.5,89.375,0.17,0.13,0.48,0.56,1.16,0.41,0.36,0.84,0.09,0.14,0.05,0.12,0.05
WS2M_MIN,1992,21.5,90.0,0.24,0.18,0.27,0.28,0.4,0.4,0.24,0.54,0.05,0.14,0.1,0.05,0.05
WS2M_MIN,1992,21.5,90.625,0.23,0.17,0.3,0.6,0.19,0.28,0.21,0.49,0.23,0.04,0.11,0.03,0.03
WS2M_MIN,1992,21.5,91.25,0.32,0.2,0.11,0.08,0.53,0.05,0.1,0.43,0.36,0.16,0.13,0.07,0.05
WS2M_MIN,1992,21.5,91.875,0.26,0.15,0.21,0.17,0.19,0.05,0.28,0.35,0.04,0.06,0.04,0.14,0.04
WS2M_MIN,1992,21.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,22.0,88.75,0.23,0.03,0.63,0.6,0.6,0.19,1.41,0.92,0.09,0.13,0.19,0.32,0.03
WS2M_MIN,1992,22.0,89.375,0.04,0.05,0.51,0.04,0.7,0.18,0.92,0.75,0.13,0.04,0.02,0.14,0.02
WS2M_MIN,1992,22.0,90.0,0.06,0.06,0.55,0.64,0.48,0.1,0.13,0.74,0.14,0.13,0.05,0.01,0.01
WS2M_MIN,1992,22.0,90.625,0.05,0.03,0.13,0.3,0.15,0.24,0.24,0.72,0.21,0.06,0.07,0.07,0.03
WS2M_MIN,1992,22.0,91.25,0.13,0.08,0.29,0.43,0.46,0.32,0.16,0.64,0.19,0.03,0.15,0.14,0.03
WS2M_MIN,1992,22.0,91.875,0.07,0.25,0.19,0.11,0.24,0.28,0.12,0.18,0.41,0.15,0.14,0.38,0.07
WS2M_MIN,1992,22.0,92.5,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,22.5,88.75,0.08,0.1,0.41,0.45,0.11,0.17,0.06,0.65,0.25,0.05,0.11,0.1,0.05
WS2M_MIN,1992,22.5,89.375,0.06,0.15,0.43,0.35,0.36,0.14,0.14,0.52,0.46,0.02,0.06,0.03,0.02
WS2M_MIN,1992,22.5,90.0,0.02,0.06,0.58,0.11,0.05,0.3,0.36,0.4,0.15,0.06,0.06,0.02,0.02
WS2M_MIN,1992,22.5,90.625,0.07,0.03,0.29,0.4,0.36,0.32,0.2,0.39,0.16,0.11,0.1,0.11,0.03
WS2M_MIN,1992,22.5,91.25,0.09,0.27,0.77,0.29,0.58,0.07,0.14,0.47,0.22,0.15,0.17,0.11,0.07
WS2M_MIN,1992,22.5,91.875,0.01,0.22,0.23,0.25,0.26,0.21,0.13,0.41,0.2,0.04,0.11,0.02,0.01
WS2M_MIN,1992,22.5,92.5,0.01,0.03,0.04,0.01,0.04,0.02,0.1,0.03,0.02,0.03,0.01,0.01,0.01
WS2M_MIN,1992,23.0,88.75,0.06,0.13,0.84,0.17,0.22,0.19,0.17,0.45,0.31,0.06,0.07,0.22,0.06
WS2M_MIN,1992,23.0,89.375,0.11,0.05,0.74,0.43,0.28,0.15,0.22,0.37,0.48,0.12,0.06,0.11,0.05
WS2M_MIN,1992,23.0,90.0,0.02,0.05,0.09,0.29,0.39,0.35,0.42,0.43,0.04,0.11,0.03,0.14,0.02
WS2M_MIN,1992,23.0,90.625,0.12,0.12,0.54,0.12,0.3,0.4,0.32,0.35,0.09,0.03,0.07,0.12,0.03
WS2M_MIN,1992,23.0,91.25,0.14,0.15,0.86,0.11,0.52,0.13,0.17,0.25,0.07,0.07,0.15,0.04,0.04
WS2M_MIN,1992,23.0,91.875,0.01,0.01,0.07,0.03,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0
WS2M_MIN,1992,23.0,92.5,0.01,0.03,0.02,0.03,0.03,0.02,0.06,0.02,0.0,0.01,0.02,0.01,0.0
WS2M_MIN,1992,23.5,88.75,0.03,0.03,0.16,0.22,0.1,0.09,0.06,0.3,0.26,0.08,0.14,0.22,0.03
WS2M_MIN,1992,23.5,89.375,0.09,0.1,0.27,0.19,0.15,0.4,0.33,0.2,0.26,0.05,0.12,0.22,0.05
WS2M_MIN,1992,23.5,90.0,0.08,0.05,0.11,0.13,0.05,0.09,0.4,0.31,0.07,0.03,0.05,0.11,0.03
WS2M_MIN,1992,23.5,90.625,0.07,0.04,0.14,0.4,0.22,0.38,0.43,0.15,0.06,0.14,0.1,0.26,0.04
WS2M_MIN,1992,23.5,91.25,0.04,0.09,0.76,0.13,0.14,0.2,0.24,0.05,0.17,0.06,0.04,0.23,0.04
WS2M_MIN,1992,23.5,91.875,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,23.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,24.0,88.75,0.04,0.19,0.21,0.06,0.1,0.24,0.23,0.41,0.16,0.03,0.22,0.12,0.03
WS2M_MIN,1992,24.0,89.375,0.08,0.14,0.25,0.09,0.09,0.48,0.38,0.4,0.03,0.02,0.0,0.28,0.0
WS2M_MIN,1992,24.0,90.0,0.05,0.06,0.07,0.11,0.15,0.18,0.35,0.28,0.33,0.05,0.01,0.08,0.01
WS2M_MIN,1992,24.0,90.625,0.12,0.11,0.48,0.42,0.21,0.28,0.2,0.11,0.13,0.02,0.06,0.13,0.02
WS2M_MIN,1992,24.0,91.25,0.06,0.18,0.67,0.4,0.44,0.07,0.34,0.13,0.07,0.04,0.05,0.12,0.04
WS2M_MIN,1992,24.0,91.875,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,24.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1992,24.5,88.75,0.09,0.13,0.11,0.21,0.1,0.26,0.21,0.35,0.23,0.05,0.17,0.25,0.05
WS2M_MIN,1992,24.5,89.375,0.06,0.12,0.12,0.19,0.06,0.17,0.18,0.38,0.28,0.02,0.08,0.21,0.02
WS2M_MIN,1992,24.5,90.0,0.11,0.08,0.04,0.19,0.3,0.37,0.16,0.2,0.26,0.16,0.25,0.26,0.04
WS2M_MIN,1992,24.5,90.625,0.02,0.12,0.37,0.14,0.2,0.23,0.01,0.14,0.17,0.09,0.06,0.04,0.01
WS2M_MIN,1992,24.5,91.25,0.05,0.06,0.38,0.47,0.28,0.13,0.47,0.15,0.2,0.05,0.11,0.05,0.05
WS2M_MIN,1992,24.5,91.875,0.07,0.12,0.16,0.22,0.04,0.03,0.07,0.02,0.08,0.17,0.06,0.18,0.02
WS2M_MIN,1992,24.5,92.5,0.01,0.01,0.02,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.0
WS2M_MIN,1992,25.0,88.75,0.06,0.09,0.15,0.01,0.04,0.01,0.23,0.18,0.4,0.07,0.13,0.35,0.01
WS2M_MIN,1992,25.0,89.375,0.07,0.09,0.09,0.04,0.08,0.07,0.04,0.19,0.46,0.08,0.05,0.04,0.04
WS2M_MIN,1992,25.0,90.0,0.04,0.12,0.13,0.15,0.11,0.31,0.11,0.07,0.13,0.08,0.06,0.06,0.04
WS2M_MIN,1992,25.0,90.625,0.08,0.06,0.07,0.2,0.04,0.19,0.2,0.05,0.1,0.09,0.04,0.16,0.04
WS2M_MIN,1992,25.0,91.25,0.08,0.15,0.11,0.18,0.15,0.09,0.13,0.13,0.08,0.15,0.09,0.08,0.08
WS2M_MIN,1992,25.0,91.875,0.24,0.09,0.13,0.08,0.11,0.05,0.06,0.14,0.02,0.02,0.06,0.25,0.02
WS2M_MIN,1992,25.0,92.5,0.07,0.06,0.04,0.06,0.05,0.12,0.06,0.04,0.06,0.06,0.08,0.11,0.04
WS2M_MIN,1992,25.5,88.75,0.03,0.12,0.06,0.11,0.04,0.23,0.35,0.05,0.04,0.12,0.05,0.2,0.03
WS2M_MIN,1992,25.5,89.375,0.08,0.12,0.1,0.13,0.08,0.39,0.13,0.24,0.24,0.07,0.25,0.14,0.07
WS2M_MIN,1992,25.5,90.0,0.09,0.07,0.04,0.17,0.11,0.05,0.04,0.1,0.02,0.07,0.09,0.07,0.02
WS2M_MIN,1992,25.5,90.625,0.01,0.01,0.14,0.04,0.06,0.03,0.04,0.02,0.02,0.01,0.01,0.03,0.01
WS2M_MIN,1992,25.5,91.25,0.11,0.02,0.09,0.15,0.12,0.02,0.11,0.04,0.11,0.1,0.09,0.07,0.02
WS2M_MIN,1992,25.5,91.875,0.03,0.22,0.21,0.01,0.03,0.14,0.21,0.08,0.04,0.06,0.12,0.08,0.01
WS2M_MIN,1992,25.5,92.5,0.02,0.04,0.19,0.04,0.04,0.05,0.04,0.02,0.02,0.03,0.01,0.01,0.01
WS2M_MIN,1992,26.0,88.75,0.03,0.03,0.09,0.12,0.11,0.1,0.21,0.13,0.07,0.02,0.08,0.03,0.02
WS2M_MIN,1992,26.0,89.375,0.11,0.13,0.08,0.06,0.16,0.29,0.07,0.04,0.19,0.19,0.14,0.07,0.04
WS2M_MIN,1992,26.0,90.0,0.07,0.03,0.06,0.04,0.05,0.16,0.09,0.23,0.07,0.1,0.09,0.06,0.03
WS2M_MIN,1992,26.0,90.625,0.13,0.09,0.06,0.17,0.03,0.06,0.16,0.15,0.05,0.09,0.19,0.14,0.03
WS2M_MIN,1992,26.0,91.25,0.08,0.25,0.08,0.12,0.04,0.1,0.08,0.02,0.03,0.07,0.04,0.22,0.02
WS2M_MIN,1992,26.0,91.875,0.08,0.06,0.04,0.04,0.04,0.06,0.03,0.04,0.03,0.02,0.02,0.07,0.02
WS2M_MIN,1992,26.0,92.5,0.01,0.02,0.0,0.01,0.01,0.01,0.03,0.01,0.0,0.0,0.0,0.01,0.0
WS2M_MIN,1993,20.5,88.75,0.08,0.17,0.13,0.06,0.14,2.26,1.1,3.02,0.21,0.12,0.1,0.09,0.06
WS2M_MIN,1993,20.5,89.375,0.18,0.15,0.39,0.5,0.04,0.98,1.29,2.83,0.12,0.51,0.13,0.36,0.04
WS2M_MIN,1993,20.5,90.0,0.11,0.04,0.4,0.75,0.32,1.98,0.46,2.39,0.3,0.1,0.12,0.22,0.04
WS2M_MIN,1993,20.5,90.625,0.33,0.44,0.41,0.19,0.47,2.68,1.89,1.9,0.7,0.09,0.15,1.14,0.09
WS2M_MIN,1993,20.5,91.25,0.17,0.83,0.92,0.45,0.21,0.83,2.67,1.36,1.52,0.21,0.15,1.36,0.15
WS2M_MIN,1993,20.5,91.875,0.36,0.26,1.14,0.15,0.17,1.38,1.87,0.74,1.19,0.1,0.22,1.2,0.1
WS2M_MIN,1993,20.5,92.5,0.44,0.46,0.1,0.27,0.17,0.82,1.62,0.5,0.62,0.27,0.23,0.05,0.05
WS2M_MIN,1993,21.0,88.75,0.17,0.2,0.2,0.83,0.49,2.48,1.69,3.23,0.21,0.25,0.04,0.24,0.04
WS2M_MIN,1993,21.0,89.375,0.05,0.15,0.13,0.92,0.17,1.3,1.78,3.0,0.2,0.12,0.12,0.26,0.05
WS2M_MIN,1993,21.0,90.0,0.26,0.08,0.66,0.44,0.51,0.96,1.78,2.71,0.72,0.25,0.07,0.16,0.07
WS2M_MIN,1993,21.0,90.625,0.14,0.3,0.17,0.2,0.41,2.77,2.49,1.45,0.5,0.04,0.08,0.62,0.04
WS2M_MIN,1993,21.0,91.25,0.56,0.76,0.61,0.44,0.27,1.89,2.82,0.79,0.31,0.01,0.18,1.34,0.01
WS2M_MIN,1993,21.0,91.875,0.24,0.22,0.73,0.12,0.4,1.42,2.12,0.8,0.3,0.08,0.04,0.6,0.04
WS2M_MIN,1993,21.0,92.5,0.06,0.09,0.05,0.03,0.05,0.12,0.25,0.05,0.08,0.04,0.04,0.01,0.01
WS2M_MIN,1993,21.5,88.75,0.06,0.17,0.34,0.6,0.82,1.38,1.66,2.23,0.29,0.11,0.08,0.13,0.06
WS2M_MIN,1993,21.5,89.375,0.13,0.03,0.3,0.39,0.2,0.91,0.52,2.02,0.35,0.16,0.1,0.14,0.03
WS2M_MIN,1993,21.5,90.0,0.26,0.22,0.42,0.42,0.25,1.97,2.16,2.66,0.6,0.13,0.24,0.14,0.13
WS2M_MIN,1993,21.5,90.625,0.14,0.17,0.4,0.46,0.18,0.51,2.78,1.24,0.53,0.13,0.11,0.22,0.11
WS2M_MIN,1993,21.5,91.25,0.1,0.38,0.5,0.72,0.14,2.06,3.26,0.21,0.59,0.15,0.55,1.31,0.1
WS2M_MIN,1993,21.5,91.875,0.34,0.39,0.16,0.13,0.09,0.84,2.43,0.52,0.43,0.26,0.44,0.11,0.09
WS2M_MIN,1993,21.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1993,22.0,88.75,0.13,0.04,0.13,0.14,0.96,0.52,0.54,1.18,0.43,0.09,0.13,0.24,0.04
WS2M_MIN,1993,22.0,89.375,0.09,0.08,0.09,0.28,0.29,0.67,0.46,0.31,0.23,0.09,0.04,0.09,0.04
WS2M_MIN,1993,22.0,90.0,0.14,0.1,0.14,0.42,0.15,1.01,0.27,0.43,0.53,0.14,0.03,0.09,0.03
WS2M_MIN,1993,22.0,90.625,0.11,0.05,0.28,0.17,0.38,0.36,2.03,1.33,0.26,0.13,0.06,0.04,0.04
WS2M_MIN,1993,22.0,91.25,0.05,0.08,0.17,0.52,0.52,0.8,3.25,1.47,0.13,0.07,0.65,0.55,0.05
WS2M_MIN,1993,22.0,91.875,0.09,0.1,0.33,0.08,0.12,1.0,1.75,0.39,0.16,0.06,0.33,0.2,0.06
WS2M_MIN,1993,22.0,92.5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0
WS2M_MIN,1993,22.5,88.75,0.18,0.07,0.09,0.11,0.6,0.23,0.26,0.47,0.19,0.1,0.27,0.47,0.07
WS2M_MIN,1993,22.5,89.375,0.11,0.08,0.13,0.12,0.28,0.06,0.02,0.07,0.06,0.12,0.13,0.18,0.02
WS2M_MIN,1993,22.5,90.0,0.11,0.1,0.1,0.26,0.15,0.06,0.79,0.29,0.32,0.1,0.05,0.02,0.02
WS2M_MIN,1993,22.5,90.625,0.13,0.16,0.1,0.06,0.11,0.8,1.32,1.01,0.15,0.08,0.08,0.15,0.06
WS2M_MIN,1993,22.5,91.25,0.08,0.08,0.16,0.19,0.53,0.86,2.37,1.3,0.38,0.17,0.27,0.12,0.08
WS2M_MIN,1993,22.5,91.875,0.15,0.22,0.35,0.3,0.16,1.22,1.0,0.14,0.11,0.1,0.37,0.09,0.09
WS2M_MIN,1993,22.5,92.5,0.01,0.02,0.03,0.04,0.02,0.04,0.05,0.07,0.06,0.02,0.01,0.01,0.01
WS2M_MIN,1993,23.0,88.75,0.2,0.11,0.22,0.16,0.44,0.11,0.41,0.52,0.11,0.05,0.11,0.43,0.05
WS2M_MIN,1993,23.0,89.375,0.11,0.13,0.15,0.02,0.17,0.47,0.55,0.08,0.21,0.04,0.19,0.06,0.02
WS2M_MIN,1993,23.0,90.0,0.08,0.08,0.1,0.17,0.21,0.21,0.81,0.27,0.38,0.13,0.02,0.03,0.02
WS2M_MIN,1993,23.0,90.625,0.04,0.06,0.22,0.22,0.09,0.61,1.19,0.95,0.17,0.04,0.07,0.04,0.04
WS2M_MIN,1993,23.0,91.25,0.09,0.14,0.03,0.06,0.11,0.96,0.85,0.61,0.24,0.1,0.06,0.14,0.03
WS2M_MIN,1993,23.0,91.875,0.0,0.0,0.02,0.01,0.0,0.03,0.01,0.01,0.0,0.0,0.01,0.0,0.0
WS2M_MIN,1993,23.0,92.5,0.01,0.02,0.03,0.04,0.02,0.04,0.03,0.05,0.03,0.03,0.01,0.01,0.01
WS2M_MIN,1993,23.5,88.75,0.11,0.08,0.06,0.19,0.35,0.14,0.41,0.09,0.19,0.1,0.19,0.17,0.06
WS2M_MIN,1993,23.5,89.375,0.02,0.08,0.23,0.24,0.11,0.12,0.47,0.06,0.09,0.08,0.06,0.07,0.02
WS2M_MIN,1993,23.5,90.0,0.09,0.08,0.13,0.15,0.27,0.24,0.73,0.54,0.12,0.08,0.05,0.01,0.01
WS2M_MIN,1993,23.5,90.625,0.11,0.13,0.22,0.18,0.12,0.44,1.02,0.65,0.07,0.09,0.19,0.05,0.05
WS2M_MIN,1993,23.5,91.25,0.1,0.1,0.15,0.07,0.1,0.49,0.66,0.29,0.11,0.01,0.03,0.04,0.01
WS2M_MIN,1993,23.5,91.875,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1993,23.5,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WS2M_MIN,1993,24.0,88.75,0.19,0.04,0.07,0.15,0.44,0.42,0.13,0.12,0.17,0.07,0.06,0.04,0.04
